date,year,month,day_of_year,system:time_start,system_index,scene_cloud_percent,GCC,NDVI,NDVI_RAW_ORIGINAL,NDVI_WINDOW_DAYS,NDTI,NDPI,FAI,NDCI,KINNERET_2B,KINNERET_3B
2021-12-31,2021,12,365,1.640939455333E12,20211231T082239_20211231T082245_T36SYB,69.006106,0.3465715138806208,-0.149956122145127,0.07647257835768294,61,-0.013841705293987969,-0.12647082200028753,0.014214047811789273,0.0761567243192552,1.1669173589896518,0.16236903410963008
2022-01-10,2022,1,10,1.641803455449E12,20220110T082219_20220110T082245_T36SYB,5.030856,0.36599643361914935,-0.243288178141073,-0.001935935123010069,61,0.05346373683385015,-0.2319518001652356,0.003601441796470753,0.13746040357906145,1.3210394729542345,0.23325539564423894
2022-01-20,2022,1,20,1.642667454623E12,20220120T082149_20220120T082244_T36SYB,21.373501,0.357416932778547,-0.301036879590182,-0.3498070026376077,61,0.04265783106275956,-0.7270875685705418,-0.012987037420049276,0.11323919913812595,1.2577488448997782,0.11200207564027304
2022-01-25,2022,1,25,1.643099459568E12,20220125T082231_20220125T082250_T36SYB,34.913179,0.3915268886680395,-0.292944767732202,-0.3173174508322789,61,-0.013747604892248057,-0.7422496099661221,-0.010519806806152313,0.1462176296013747,1.3477519413660712,0.15255116117660023
2022-01-30,2022,1,30,1.643531453512E12,20220130T082059_20220130T082243_T36SYB,1.378974,0.3737560922820458,-0.29491825862361,-0.5056668699673759,61,-0.003967103990399613,-0.7554576543706224,-0.01932427662577578,0.07468200368295397,1.163012461532353,0.056847827499881
2022-02-09,2022,2,40,1.644395453781E12,20220209T082009_20220209T082238_T36SYB,0.001264,0.3783200310800728,-0.357226723280183,-0.7282013726618157,61,0.03066334611958964,-0.7150331335876846,-0.02526113350620777,0.051811509031961696,1.1109725835501427,0.023877685419303366
2022-02-24,2022,2,55,1.645691462023E12,20220224T081931_20220224T082252_T36SYB,26.853389,0.3564621805969844,-0.435687195723476,-0.05597654727387886,61,0.025346668499743655,-0.32840553609364387,-4.769814508405022E-4,0.07796267582546601,1.1694394021408374,0.1281755657261599
2022-03-01,2022,3,60,1.646123456071E12,20220301T081749_20220301T082834_T36SYB,17.460081,0.38799978956481057,-0.43542216804428,-0.24210989202238797,61,0.016106911067276856,-0.42059157847355694,-0.011182172153873068,0.1325264366364235,1.3093438505055635,0.14126700269311396
2022-03-16,2022,3,75,1.647419463349E12,20220316T081701_20220316T082252_T36SYB,5.779712,0.37287126858849295,-0.309082005959233,-0.50606351499877,61,0.03687336457678834,-0.7212911174631829,-0.02208845351516284,0.052086729640128955,1.1109074730229314,0.038177205512310554
2022-03-26,2022,3,85,1.648283462171E12,20220326T081611_20220326T082250_T36SYB,1.955385,0.36573848109503654,-0.287770626858279,-0.6224162860290816,61,0.027274198879802748,-0.7833274258283748,-0.02859192529630321,0.034320960381843485,1.0742339132845005,0.021983094950826478
2022-03-31,2022,3,90,1.648715455967E12,20220331T081559_20220331T082609_T36SYB,19.631225,0.37478410614836993,-0.267995431296937,-0.23409561064747075,61,0.07099659320834388,-0.1407826671638923,-0.01318101610430585,0.07751708717951575,1.1694210402633538,0.06519841640315507
2022-04-10,2022,4,100,1.649579456219E12,20220410T081559_20220410T081921_T36SYB,0.047233,0.387076493047539,-0.227488302565923,0.023043288384802005,61,0.08698363746849475,-0.0683011069905412,0.004427206106055348,0.13913113499579183,1.328290155914817,0.21817532865750558
2022-04-15,2022,4,105,1.650011462688E12,20220415T081611_20220415T082254_T36SYB,0.211525,0.41262813495536443,-0.19077225673459,-0.2211918231001185,61,-0.004161682857040229,-0.5182660749477246,-0.0089379356405991,0.15749721403721859,1.4483266600439277,0.28957222244339254
2022-04-20,2022,4,110,1.650443454716E12,20220420T081559_20220420T082452_T36SYB,27.61454,0.3775442317305997,-0.164496075926194,-0.2583183937824662,61,-0.06352024508493737,-0.40777786528316967,-0.019405836595115036,0.12968483764584202,1.3483751533169082,0.21252112599692843
